word,category,frequency,valence,tradition
God,divine,0.95,positive,Abrahamic
Allah,divine,0.90,positive,Islam
Brahman,divine,0.85,positive,Hinduism
Tao,divine,0.80,positive,Taoism
Dhamma,belief,0.82,positive,Buddhism
prayer,practice,0.90,positive,Abrahamic
meditation,practice,0.88,positive,Buddhism
yoga,practice,0.83,positive,Hinduism
fasting,practice,0.78,positive,Abrahamic
pilgrimage,practice,0.75,positive,Abrahamic
soul,inner,0.88,positive,Abrahamic
atman,inner,0.83,positive,Hinduism
spirit,inner,0.87,positive,General
jiva,inner,0.75,positive,Jainism
anima,inner,0.72,positive,General
sacred,quality,0.82,positive,General
holy,quality,0.80,positive,Abrahamic
divine,quality,0.83,positive,General
pure,quality,0.79,positive,General
transcendent,quality,0.76,positive,General
faith,belief,0.91,positive,Abrahamic
iman,belief,0.88,positive,Islam
shraddha,belief,0.82,positive,Hinduism
dharma,belief,0.85,positive,Hinduism
nirvana,experience,0.80,positive,Buddhism
moksha,experience,0.79,positive,Hinduism
salvation,experience,0.82,positive,Abrahamic
enlightenment,experience,0.78,positive,Buddhism
mystical union,experience,0.72,positive,General
satori,experience,0.70,positive,Zen Buddhism
compassion,virtue,0.85,positive,General
karuna,virtue,0.82,positive,Buddhism
metta,virtue,0.80,positive,Buddhism
agape,virtue,0.83,positive,Christianity
ahimsa,virtue,0.81,positive,Jainism
gratitude,virtue,0.88,positive,General
humility,virtue,0.84,positive,General
wisdom,virtue,0.86,positive,General
prajna,virtue,0.82,positive,Buddhism
phronesis,virtue,0.78,positive,Philosophy
transcendence,experience,0.78,positive,General
inner peace,virtue,0.87,positive,General
mindfulness,practice,0.85,positive,Buddhism
awareness,experience,0.82,positive,General
presence,experience,0.80,positive,General
grace,divine,0.80,positive,Christianity
baraka,divine,0.76,positive,Islam
blessing,divine,0.79,positive,General
covenant,belief,0.74,positive,Judaism
revelation,experience,0.77,positive,Abrahamic
