word,category,frequency,valence
God,divine,0.95,positive
prayer,practice,0.90,positive
meditation,practice,0.85,positive
soul,inner,0.88,positive
spirit,inner,0.87,positive
sacred,quality,0.82,positive
faith,belief,0.91,positive
transcendence,experience,0.78,positive
grace,divine,0.80,positive
compassion,virtue,0.84,positive
love,virtue,0.95,positive
peace,virtue,0.90,positive
wisdom,virtue,0.85,positive
enlightenment,experience,0.75,positive
blessing,divine,0.79,positive
holy,quality,0.80,positive
divine,quality,0.83,positive
ritual,practice,0.76,positive
worship,practice,0.78,positive
devotion,practice,0.82,positive
mindfulness,practice,0.80,positive
contemplation,practice,0.75,positive
awakening,experience,0.74,positive
mysticism,experience,0.70,positive
reverence,practice,0.77,positive
gratitude,virtue,0.88,positive
humility,virtue,0.82,positive
charity,virtue,0.85,positive
justice,virtue,0.84,positive
truth,belief,0.89,positive
